country,year,sex,age,suicides_no,population,suicides_per_100k,gdp,gdp_per_capita,generation,Region,happiness_rank,happiness_score,family,life_expectancy,freedom,govt_corruption,generosity,dystopia_residual
Australia,2015,female,5-14 years,8,1428159,0.56,"1,349,034,029,453",60656,Generation Z,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Australia,2015,male,5-14 years,6,1507502,0.4,"1,349,034,029,453",60656,Generation Z,Australia and New Zealand,10,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646
Austria,2015,male,75+ years,214,290329,73.71,"382,065,930,308",46484,Silent,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,male,55-74 years,294,915115,32.13,"382,065,930,308",46484,Boomers,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,male,35-54 years,313,1279822,24.46,"382,065,930,308",46484,Generation X,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,female,75+ years,70,461676,15.16,"382,065,930,308",46484,Silent,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,male,25-34 years,78,590968,13.2,"382,065,930,308",46484,Millenials,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,male,15-24 years,61,519646,11.74,"382,065,930,308",46484,Millenials,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,female,55-74 years,100,998854,10.01,"382,065,930,308",46484,Boomers,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,female,35-54 years,79,1273034,6.21,"382,065,930,308",46484,Generation X,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,female,15-24 years,19,490742,3.87,"382,065,930,308",46484,Millenials,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,female,25-34 years,21,576661,3.64,"382,065,930,308",46484,Millenials,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,female,5-14 years,1,400831,0.25,"382,065,930,308",46484,Generation Z,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Austria,2015,male,5-14 years,1,421708,0.24,"382,065,930,308",46484,Generation Z,Western Europe,13,7.2,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332
Belgium,2015,male,75+ years,177,392775,45.06,"455,039,563,133",42830,Silent,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,male,35-54 years,529,1567729,33.74,"455,039,563,133",42830,Generation X,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,male,55-74 years,353,1200170,29.41,"455,039,563,133",42830,Boomers,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,male,25-34 years,161,728873,22.09,"455,039,563,133",42830,Millenials,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,female,35-54 years,221,1534727,14.4,"455,039,563,133",42830,Generation X,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,female,75+ years,87,616201,14.12,"455,039,563,133",42830,Silent,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,female,55-74 years,176,1262327,13.94,"455,039,563,133",42830,Boomers,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,male,15-24 years,93,671971,13.84,"455,039,563,133",42830,Millenials,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,female,25-34 years,45,726357,6.2,"455,039,563,133",42830,Millenials,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,female,15-24 years,21,649587,3.23,"455,039,563,133",42830,Millenials,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,female,5-14 years,2,622189,0.32,"455,039,563,133",42830,Generation Z,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Belgium,2015,male,5-14 years,2,651450,0.31,"455,039,563,133",42830,Generation Z,Western Europe,19,6.937,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003
Brazil,2015,male,75+ years,470,2448560,19.19,"1,802,214,373,741",9431,Silent,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,55-74 years,1693,12987357,13.04,"1,802,214,373,741",9431,Boomers,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,35-54 years,3238,26989063,12.0,"1,802,214,373,741",9431,Generation X,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,25-34 years,1897,17625976,10.76,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,15-24 years,1389,17569045,7.91,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,35-54 years,910,28461855,3.2,"1,802,214,373,741",9431,Generation X,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,55-74 years,479,15122216,3.17,"1,802,214,373,741",9431,Boomers,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,25-34 years,466,17546090,2.66,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,75+ years,89,3802086,2.34,"1,802,214,373,741",9431,Silent,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,15-24 years,397,17047218,2.33,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,5-14 years,79,16057040,0.49,"1,802,214,373,741",9431,Generation Z,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,5-14 years,56,15430579,0.36,"1,802,214,373,741",9431,Generation Z,Latin America and Caribbean,16,6.983,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Chile,2015,male,75+ years,117,282308,41.44,"243,999,477,738",14729,Silent,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,male,55-74 years,301,1394272,21.59,"243,999,477,738",14729,Boomers,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,male,35-54 years,513,2426719,21.14,"243,999,477,738",14729,Generation X,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,male,25-34 years,296,1406921,21.04,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,male,15-24 years,224,1400822,15.99,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,female,35-54 years,136,2431495,5.59,"243,999,477,738",14729,Generation X,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,female,55-74 years,78,1544550,5.05,"243,999,477,738",14729,Boomers,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,female,25-34 years,66,1359598,4.85,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,female,15-24 years,64,1343941,4.76,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,female,75+ years,21,470618,4.46,"243,999,477,738",14729,Silent,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,female,5-14 years,13,1228869,1.06,"243,999,477,738",14729,Generation Z,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Chile,2015,male,5-14 years,9,1275612,0.71,"243,999,477,738",14729,Generation Z,Latin America and Caribbean,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585
Colombia,2015,male,75+ years,82,502228,16.33,"291,519,591,533",6552,Silent,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,male,15-24 years,473,4197599,11.27,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,male,55-74 years,317,2926656,10.83,"291,519,591,533",6552,Boomers,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,male,25-34 years,379,3994717,9.49,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,male,35-54 years,560,6143478,9.12,"291,519,591,533",6552,Generation X,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,female,15-24 years,176,4070390,4.32,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,female,25-34 years,111,4031995,2.75,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,female,35-54 years,96,6566323,1.46,"291,519,591,533",6552,Generation X,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,female,75+ years,10,715044,1.4,"291,519,591,533",6552,Silent,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,female,55-74 years,45,3367078,1.34,"291,519,591,533",6552,Boomers,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,female,5-14 years,44,3904896,1.13,"291,519,591,533",6552,Generation Z,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2015,male,5-14 years,39,4070023,0.96,"291,519,591,533",6552,Generation Z,Latin America and Caribbean,33,6.477,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Croatia,2015,male,75+ years,104,131896,78.85,"49,425,513,611",12351,Silent,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,male,55-74 years,207,476580,43.43,"49,425,513,611",12351,Boomers,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,male,35-54 years,155,575410,26.94,"49,425,513,611",12351,Generation X,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,female,75+ years,56,243369,23.01,"49,425,513,611",12351,Silent,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,male,25-34 years,41,280212,14.63,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,male,15-24 years,34,247562,13.73,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,female,55-74 years,75,548940,13.66,"49,425,513,611",12351,Boomers,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,female,35-54 years,51,576262,8.85,"49,425,513,611",12351,Generation X,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,female,25-34 years,7,271005,2.58,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,female,15-24 years,6,236301,2.54,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,female,5-14 years,2,201507,0.99,"49,425,513,611",12351,Generation Z,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Croatia,2015,male,5-14 years,1,212625,0.47,"49,425,513,611",12351,Generation Z,Central and Eastern Europe,62,5.7589999999999995,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414
Cyprus,2015,male,55-74 years,9,83627,10.76,"19,676,167,240",24718,Boomers,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,male,25-34 years,7,67482,10.37,"19,676,167,240",24718,Millenials,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,male,35-54 years,10,106371,9.4,"19,676,167,240",24718,Generation X,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,male,15-24 years,5,58308,8.58,"19,676,167,240",24718,Millenials,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,female,55-74 years,3,87902,3.41,"19,676,167,240",24718,Boomers,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,female,25-34 years,2,70765,2.83,"19,676,167,240",24718,Millenials,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,female,35-54 years,3,118975,2.52,"19,676,167,240",24718,Generation X,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,female,15-24 years,1,58123,1.72,"19,676,167,240",24718,Millenials,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,female,5-14 years,0,44693,0.0,"19,676,167,240",24718,Generation Z,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,female,75+ years,0,29924,0.0,"19,676,167,240",24718,Silent,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,male,5-14 years,0,46906,0.0,"19,676,167,240",24718,Generation Z,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Cyprus,2015,male,75+ years,0,22961,0.0,"19,676,167,240",24718,Silent,Western Europe,67,5.689,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,1.8893099999999998
Czech Republic,2015,male,75+ years,145,264401,54.84,"186,829,940,546",18703,Silent,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,male,55-74 years,373,1202553,31.02,"186,829,940,546",18703,Boomers,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,male,35-54 years,404,1602521,25.21,"186,829,940,546",18703,Generation X,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,male,25-34 years,151,737221,20.48,"186,829,940,546",18703,Millenials,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,male,15-24 years,58,546597,10.61,"186,829,940,546",18703,Millenials,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,female,75+ years,44,471092,9.34,"186,829,940,546",18703,Silent,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,female,55-74 years,80,1358421,5.89,"186,829,940,546",18703,Boomers,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,female,35-54 years,86,1528289,5.63,"186,829,940,546",18703,Generation X,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,female,15-24 years,19,521060,3.65,"186,829,940,546",18703,Millenials,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,female,25-34 years,20,698584,2.86,"186,829,940,546",18703,Millenials,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,female,5-14 years,5,515457,0.97,"186,829,940,546",18703,Generation Z,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Czech Republic,2015,male,5-14 years,2,543129,0.37,"186,829,940,546",18703,Generation Z,Central and Eastern Europe,31,6.505,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782
Denmark,2015,male,75+ years,57,178633,31.91,"301,298,464,861",55972,Silent,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,male,35-54 years,159,783366,20.3,"301,298,464,861",55972,Generation X,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,male,55-74 years,126,651856,19.33,"301,298,464,861",55972,Boomers,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,female,75+ years,32,253300,12.63,"301,298,464,861",55972,Silent,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,female,55-74 years,67,673655,9.95,"301,298,464,861",55972,Boomers,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,male,25-34 years,30,342769,8.75,"301,298,464,861",55972,Millenials,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,female,35-54 years,51,772844,6.6,"301,298,464,861",55972,Generation X,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,male,15-24 years,18,374051,4.81,"301,298,464,861",55972,Millenials,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,female,25-34 years,15,331400,4.53,"301,298,464,861",55972,Millenials,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,female,15-24 years,6,356882,1.68,"301,298,464,861",55972,Millenials,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,female,5-14 years,3,323821,0.93,"301,298,464,861",55972,Generation Z,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Denmark,2015,male,5-14 years,0,340483,0.0,"301,298,464,861",55972,Generation Z,Western Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003
Ecuador,2015,male,75+ years,40,191306,20.91,"99,290,381,000",6832,Silent,Latin America and Caribbean,48,5.975,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2.5394200000000002
